SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
0,-1,1,22,0,4.6833,0,0,1,False,True,22.0,0.27,17.0,0.7622,0.7,0.0,3.1,3.4
1,1,17,253,72,11.58,0,0,1,False,True,15.0,0.1,23.0,0.6456,6.4,0.6,3.1,3.4
0,1,9,125,30,16.6304,0,0,1,False,True,14.0,0.1,34.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,2.0719,0,0,1,False,True,22.0,0.4,17.0,0.7622,0.7,0.0,3.1,3.4
0,1,14,243,72,11.5,0,0,1,False,True,17.0,0.11,23.0,0.7622,0.7,0.0,3.1,3.4
1,-1,3,36,3,0.0,0,0,1,False,True,12.0,0.24,20.0,0.6084,17.0,1.6,3.1,3.4
1,1,10,215,71,15.7543,0,0,1,True,True,22.0,0.07,21.0,0.7622,0.7,0.0,3.1,3.4
0,-1,5,85,17,11.7557,0,0,1,False,False,17.0,0.08,19.0,0.7622,0.7,0.0,3.1,3.4
1,1,19,315,74,12.9163,0,0,1,False,True,17.0,0.16,24.0,0.7019,7.0,0.5,4.3,3.4
0,1,21,303,72,14.4013,0,0,1,False,True,14.0,0.07,24.0,0.6695,6.2,0.7,3.1,3.4
1,1,15,265,72,14.9593,0,0,1,False,True,18.0,0.16,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,20,263,72,16.95,0,0,1,False,True,13.0,0.07,24.0,0.7622,0.7,0.0,3.1,3.4
0,1,19,325,73,13.26,0,0,1,True,True,17.0,0.09,25.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,0.0,0,0,1,False,True,22.0,0.67,24.0,0.7622,0.7,0.0,3.1,3.4
1,-1,11,168,44,0.45,0,0,1,False,True,15.0,0.17,28.0,0.7622,0.7,0.0,3.1,3.4
0,1,17,264,71,13.244,0,0,1,False,False,16.0,0.12,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,15,262,72,13.1065,0,0,1,False,True,17.0,0.1,23.0,0.7622,0.7,0.0,3.1,3.4
0,1,17,286,71,13.67,0,0,1,True,True,17.0,0.12,24.0,0.7622,0.7,0.0,3.1,3.4
0,1,15,271,72,14.87,0,0,1,False,True,18.0,0.08,23.0,0.7622,0.7,0.0,3.1,3.4
0,-1,16,254,63,12.73,0,0,1,False,True,16.0,0.21,28.0,0.7622,0.7,0.0,3.1,3.4
0,1,24,310,72,12.924,0,0,0,False,True,13.0,0.09,25.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,17,2,8.9959,0,0,1,False,True,17.0,0.16,19.0,0.7622,0.7,0.0,3.1,3.4
0,1,18,248,72,13.87,0,0,1,True,True,14.0,0.09,37.0,0.6412,9.1,1.0,3.1,3.4
0,1,15,254,72,14.3063,0,0,1,True,True,17.0,0.06,27.0,0.7622,0.7,0.0,3.1,3.4
1,1,12,151,37,12.23,0,0,1,False,True,13.0,0.11,27.0,0.7622,0.7,0.0,3.1,3.4
0,-1,4,67,6,0.105,0,0,1,False,True,17.0,0.21,20.0,0.7622,0.7,0.0,3.1,3.4
1,-1,4,52,5,8.45,0,0,1,False,True,13.0,0.18,19.0,0.6695,6.2,0.7,3.1,3.4
1,1,19,295,72,11.79,0,0,1,False,True,16.0,0.09,24.0,0.6456,6.4,0.6,3.1,3.4
